acc.date,type,reg,operator,fat,location,dmg,acc.year,acc_type
2019-08-16,de Havilland Canada DHC-8-200,5Y-SLM,SafariLink,0.0,Kichwa Tembo Airstrip,sub,2019.0,Non-Fatal
2019-08-18,Cessna,N879MA,Mokulele Airlines,0.0,"Kapalua Airport, HI (JHM)",sub,2019.0,Non-Fatal
2019-08-18,Boeing,N543US,Delta Air Lines,0.0,"Ponta Delgada-João Paulo II Airport, Azores (PDL)",sub,2019.0,Non-Fatal
2019-08-21,Airbus,G-VFIT,Virgin Atlantic Airways,0.0,over Black Sea,non,2019.0,Non-Fatal
2019-08-21,Cessna,1060,Fuerza Aérea Venezolana - FAV,0.0,Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),w/o,2019.0,Non-Fatal
2019-08-21,Cessna,C-FEXE,Morningstar Air Express,0.0,"Vancouver International Airport, BC (YVR/CYVR)",sub,2019.0,Non-Fatal
2019-08-21,Cessna,N91GY,Delta Private Jets,0.0,"Oroville Airport, CA (OVE)",w/o,2019.0,Non-Fatal
2019-08-22,Airbus,A6-EOP,Emirates,0.0,Dubai Airport (DXB),sub,2019.0,Non-Fatal
2019-08-23,Antonov,OK-TIR,Club Tiroler Adler,0.0,Gmunden Airfield,sub,2019.0,Non-Fatal
2019-08-25,Lockheed,N119TG,International Air Response,0.0,"Santa Barbara Airport, CA (SBA)",sub,2019.0,Non-Fatal
2019-08-26,McDonnell Douglas,N911DL,Delta Air Lines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non,2019.0,Non-Fatal
2019-08-27,Airbus,N328FR,Frontier Airlines,0.0,"near Denver, CO",non,2019.0,Non-Fatal
2019-08-27,Airbus,B-5958,Air China,0.0,Beijing-Capital International Airport (PEK),sub,2019.0,Non-Fatal
2019-08-27,Cessna,VT-AVV,Air Charter Services,0.0,Aligarh Airport,w/o,2019.0,Non-Fatal
2019-08-28,Cessna,D-ICEY,Lenox Handels und Speditions GmbH,0.0,Egelsbach Airfield (EDFE),sub,2019.0,Non-Fatal
2019-08-28,Antonov,RA-40389,private,0.0,"Selektsionny, Lgovsky district, Kursk region",sub,2019.0,Non-Fatal
2019-08-30,Antonov,RA-33061,private,2.0,Lake Syuryun-Kyuel area,w/o,2019.0,Fatal
2019-08-31,Cessna,N551WH,Star Jet LLC,0.0,"El Monte-San Gabriel Valley Airport, CA (EMT)",sub,2019.0,Non-Fatal
2019-09-01,Airbus,5A-LAU,Libyan Airlines,0.0,Tripoli-Mitiga International Airport (MJI),min,2019.0,Non-Fatal
2019-09-01,Beechcraft,RP-C2296,Lionair Inc.,9.0,"Pansol, Calamba, Laguna",w/o,2019.0,Fatal
2019-09-02,British Aerospace,XB-PTW,private,2.0,near Nueva Cajolá,w/o,2019.0,Fatal
2019-09-05,Cessna,OE-GES,Jet 24 GmbH,0.0,Milano-Malpensa Airport (MXP),sub,2019.0,Non-Fatal
2019-09-06,Airbus,N515NK,Spirit Airlines,0.0,"Fort Myers, Florida",non,2019.0,Non-Fatal
2019-09-07,ATR,HK-5041,"Regional Express Américas, opf Avianca",0.0,Manizales-La Nubia Airport (MZL),sub,2019.0,Non-Fatal
2019-09-09,Airbus,D-AKNL,Eurowings,0.0,near Berlin,non,2019.0,Non-Fatal
2019-09-11,Bombardier,N765SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,2019.0,Non-Fatal
2019-09-11,Bombardier,N710SK,"Skywest Airlines, opf American Eagle",0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,2019.0,Non-Fatal
2019-09-11,British Aerospace,XB-SMV,private,0.0,"Chencoh, Hopelchén",unk,2019.0,Non-Fatal
2019-09-11,Cessna,D-FIDI,GoJump,1.0,near Gransee Airfield,w/o,2019.0,Fatal
2019-09-11,Convair,N24DR,Ferreteria e Implementos San Francisco,2.0,"1 km ENE of Toledo-Express Airport, OH (TOL)",w/o,2019.0,Fatal
2019-09-16,Cessna,PT-MHC,TwoFlex,0.0,"0,6 km W of Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG)",w/o,2019.0,Non-Fatal
2019-09-18,Britten-Norman,V6-03FM,Caroline Islands Air,0.0,"Ta Island Airstrip, Caroline Islands",w/o,2019.0,Non-Fatal
2019-09-18,Viking,PK-CDC,"Rimbun Air, opb Carpediem Aviation",4.0,"10 km from Kampung Mamontoga, Hoeya District, Mimika Regency",w/o,2019.0,Fatal
2019-09-20,Cessna,N895SF,private,0.0,"Pepperell Airport, MA",sub,2019.0,Non-Fatal
2019-09-23,Britten-Norman,VP-MNI,FlyMontserrat,0.0,Montserrat-John A. Osborne Airport (MNI),sub,2019.0,Non-Fatal
2019-09-23,Cessna,5H-AAM,Auric Air,2.0,Seronera Airstrip (SEU),w/o,2019.0,Fatal
2019-09-24,Cessna,YVO134,Gobernación del Estado Bolívar,0.0,San Salvador de Paúl Airstrip,sub,2019.0,Non-Fatal
